block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0013138999929651618,0.002953799965325743,0.002953799965325743,30.913233799976297,space,30.90386140003102,None,,,,,,,,,,,,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
2,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,None,,,0,0,0,0,30.919651399948634,,,,,,,,,30.91818419995252,31.908983399975114,32.838019499962684,32.79289559996687,32.82848729996476,32.838019499962684,32.838019499962684,34.801073299953714,None,,,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
2,2,faces/unknown/unknown_110.jpg,unknown,1,1,0,None,,,0,1,1,1,34.80892769998172,,,,,,,,,34.80132489994867,35.7839153999812,36.483975199982524,36.44295209995471,36.48173499997938,36.483975199982524,36.483975199982524,38.45120169996517,None,,,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
2,3,faces/unknown/unknown_230.jpg,unknown,2,2,0,None,,,0,2,2,2,38.45917499996722,,,,,,,,,38.45145469997078,39.442097799968906,40.179476899967995,40.14293379994342,40.17705139995087,40.179476899967995,40.179476899967995,42.150500799994916,None,,,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
2,4,faces/unknown/unknown_45.jpg,unknown,3,3,0,None,,,0,3,3,3,42.15888109995285,,,,,,,,,42.150666199973784,43.134064199985005,44.150944699998945,44.117868799949065,44.14860629994655,44.150944699998945,44.150944699998945,46.12595139996847,None,,,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
2,5,faces/known/known_12.jpg,known,4,4,0,space,0.804526399995666,0.08858280000276864,0,4,4,4,46.134013399947435,,,,,,,,,46.12624459998915,47.10926679999102,47.948159499967005,47.90146529994672,47.94601019995753,47.948159499967005,47.948159499967005,49.909336999990046,space,0.804526399995666,0.08858280000276864,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
2,6,faces/unknown/unknown_238.jpg,unknown,5,5,0,None,,,0,5,5,5,49.9173997999751,,,,,,,,,49.90965699998196,50.892433399974834,51.9063244999852,51.86904009996215,51.9040282999631,51.9063244999852,51.9063244999852,53.87615999998525,None,,,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
2,7,faces/unknown/unknown_265.jpg,unknown,6,6,0,None,,,0,6,6,6,53.88424409995787,,,,,,,,,53.87634739995701,54.86754029995063,55.51471149997087,55.4851146999863,55.512412399984896,55.51471149997087,55.51471149997087,57.492742499976885,None,,,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
2,8,faces/unknown/unknown_222.jpg,unknown,7,7,0,None,,,0,7,7,7,57.5006418999983,,,,,,,,,57.493057399988174,58.48425889998907,59.21337749995291,59.17653169995174,59.21114869997837,59.21337749995291,59.21337749995291,61.18432089994894,None,,,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
2,9,faces/unknown/unknown_24.jpg,unknown,8,8,0,None,,,0,8,8,8,61.19255569996312,,,,,,,,,61.1844847999746,62.167659499973524,62.82806669996353,62.79385939997155,62.82566459994996,62.82806669996353,62.82806669996353,64.80120940000052,None,,,,,,,,101,002,2025-05-07_17h54.41.964,project,2024.2.4,120.08607765690958,2025-05-07 17h54.53.087040 +0700,
